current_idx=113, max_score=0.282056, most_related_idx=242
current_idx=114, max_score=0.352478, most_related_idx=108
current_idx=115, max_score=0.276219, most_related_idx=113
current_idx=116, max_score=0.248361, most_related_idx=609
current_idx=117, max_score=0.276415, most_related_idx=119
current_idx=118, max_score=0.156841, most_related_idx=116
current_idx=119, max_score=0.276415, most_related_idx=117
current_idx=120, max_score=0.120219, most_related_idx=645
current_idx=121, max_score=0.145140, most_related_idx=842
current_idx=122, max_score=0.150328, most_related_idx=648
current_idx=123, max_score=0.234910, most_related_idx=113
current_idx=124, max_score=0.130833, most_related_idx=126
current_idx=125, max_score=0.168195, most_related_idx=127
current_idx=126, max_score=0.155564, most_related_idx=102
current_idx=127, max_score=0.213742, most_related_idx=119
current_idx=128, max_score=0.111283, most_related_idx=122
current_idx=129, max_score=0.135057, most_related_idx=127
current_idx=130, max_score=0.099733, most_related_idx=300
current_idx=131, max_score=0.111390, most_related_idx=183
current_idx=132, max_score=0.242759, most_related_idx=138
current_idx=133, max_score=0.198555, most_related_idx=135
current_idx=134, max_score=0.321133, most_related_idx=136
current_idx=135, max_score=0.198555, most_related_idx=133
current_idx=136, max_score=0.348780, most_related_idx=138
current_idx=137, max_score=0.178386, most_related_idx=135
current_idx=138, max_score=0.348780, most_related_idx=136
current_idx=139, max_score=0.185385, most_related_idx=242
current_idx=140, max_score=0.229837, most_related_idx=323
current_idx=141, max_score=0.107858, most_related_idx=135
current_idx=142, max_score=0.192199, most_related_idx=144
current_idx=143, max_score=0.123358, most_related_idx=768
current_idx=144, max_score=0.224246, most_related_idx=146
current_idx=145, max_score=0.185205, most_related_idx=646
current_idx=146, max_score=0.325414, most_related_idx=902
current_idx=147, max_score=0.200136, most_related_idx=572
current_idx=148, max_score=0.286790, most_related_idx=152
current_idx=149, max_score=0.182523, most_related_idx=151
current_idx=150, max_score=0.280093, most_related_idx=152
current_idx=151, max_score=0.300151, most_related_idx=157
current_idx=152, max_score=0.390237, most_related_idx=154
current_idx=153, max_score=0.254919, most_related_idx=151
current_idx=154, max_score=0.390237, most_related_idx=152
current_idx=155, max_score=0.142962, most_related_idx=153
current_idx=156, max_score=0.259166, most_related_idx=152
current_idx=157, max_score=0.300151, most_related_idx=151
current_idx=158, max_score=0.227722, most_related_idx=160
current_idx=159, max_score=0.211772, most_related_idx=587
current_idx=160, max_score=0.399933, most_related_idx=162
current_idx=161, max_score=0.123683, most_related_idx=25
current_idx=162, max_score=0.457966, most_related_idx=164
current_idx=163, max_score=0.218685, most_related_idx=153
current_idx=164, max_score=0.457966, most_related_idx=162
current_idx=165, max_score=0.256842, most_related_idx=167
current_idx=166, max_score=0.389713, most_related_idx=164
