current_idx=129, max_score=0.058459, most_related_idx=23
current_idx=130, max_score=0.077907, most_related_idx=132
current_idx=131, max_score=0.063159, most_related_idx=133
current_idx=132, max_score=0.098205, most_related_idx=134
current_idx=133, max_score=0.072037, most_related_idx=288
current_idx=134, max_score=0.100349, most_related_idx=136
current_idx=135, max_score=0.064881, most_related_idx=288
current_idx=136, max_score=0.100349, most_related_idx=134
current_idx=137, max_score=0.066914, most_related_idx=288
current_idx=138, max_score=0.117720, most_related_idx=142
current_idx=139, max_score=0.059802, most_related_idx=290
current_idx=140, max_score=0.109235, most_related_idx=142
current_idx=141, max_score=0.058501, most_related_idx=288
current_idx=142, max_score=0.119226, most_related_idx=144
current_idx=143, max_score=0.065126, most_related_idx=812
current_idx=144, max_score=0.119226, most_related_idx=142
current_idx=145, max_score=0.067113, most_related_idx=147
current_idx=146, max_score=0.105689, most_related_idx=148
current_idx=147, max_score=0.091353, most_related_idx=149
current_idx=148, max_score=0.113557, most_related_idx=150
current_idx=149, max_score=0.098398, most_related_idx=151
current_idx=150, max_score=0.113557, most_related_idx=148
current_idx=151, max_score=0.098398, most_related_idx=149
current_idx=152, max_score=0.098816, most_related_idx=150
current_idx=153, max_score=0.089850, most_related_idx=151
current_idx=154, max_score=0.098483, most_related_idx=152
current_idx=155, max_score=0.082636, most_related_idx=157
current_idx=156, max_score=0.101172, most_related_idx=158
current_idx=157, max_score=0.082636, most_related_idx=155
current_idx=158, max_score=0.102580, most_related_idx=160
current_idx=159, max_score=0.062365, most_related_idx=157
current_idx=160, max_score=0.102580, most_related_idx=158
current_idx=161, max_score=0.054298, most_related_idx=163
current_idx=162, max_score=0.087164, most_related_idx=160
current_idx=163, max_score=0.054298, most_related_idx=161
current_idx=164, max_score=0.085841, most_related_idx=166
current_idx=165, max_score=0.045733, most_related_idx=172
current_idx=166, max_score=0.090732, most_related_idx=168
current_idx=167, max_score=0.045735, most_related_idx=302
current_idx=168, max_score=0.090732, most_related_idx=166
current_idx=169, max_score=0.051157, most_related_idx=171
current_idx=170, max_score=0.083591, most_related_idx=172
current_idx=171, max_score=0.051157, most_related_idx=169
current_idx=172, max_score=0.085591, most_related_idx=168
current_idx=173, max_score=0.047976, most_related_idx=834
current_idx=174, max_score=0.074442, most_related_idx=172
current_idx=175, max_score=0.048035, most_related_idx=196
current_idx=176, max_score=0.074298, most_related_idx=172
current_idx=177, max_score=0.061784, most_related_idx=23
current_idx=178, max_score=0.068907, most_related_idx=180
current_idx=179, max_score=0.065036, most_related_idx=288
current_idx=180, max_score=0.068946, most_related_idx=323
current_idx=181, max_score=0.071329, most_related_idx=83
current_idx=182, max_score=0.066086, most_related_idx=180
current_idx=183, max_score=0.078483, most_related_idx=81
current_idx=184, max_score=0.073420, most_related_idx=302
current_idx=185, max_score=0.076306, most_related_idx=290
current_idx=186, max_score=0.073479, most_related_idx=302
current_idx=187, max_score=0.070987, most_related_idx=300
current_idx=188, max_score=0.069698, most_related_idx=290
current_idx=189, max_score=0.074101, most_related_idx=288
current_idx=190, max_score=0.065266, most_related_idx=288
current_idx=191, max_score=0.074160, most_related_idx=300
current_idx=192, max_score=0.068832, most_related_idx=325
current_idx=193, max_score=0.077512, most_related_idx=274
current_idx=194, max_score=0.074933, most_related_idx=196
current_idx=195, max_score=0.060166, most_related_idx=290
current_idx=196, max_score=0.074933, most_related_idx=194
current_idx=197, max_score=0.056029, most_related_idx=288
current_idx=198, max_score=0.071237, most_related_idx=816
current_idx=199, max_score=0.057004, most_related_idx=302
current_idx=200, max_score=0.060081, most_related_idx=300
current_idx=201, max_score=0.056702, most_related_idx=198
current_idx=202, max_score=0.060188, most_related_idx=212
current_idx=203, max_score=0.051227, most_related_idx=134
current_idx=204, max_score=0.061300, most_related_idx=274
current_idx=205, max_score=0.055850, most_related_idx=198
current_idx=206, max_score=0.060838, most_related_idx=184
current_idx=207, max_score=0.055887, most_related_idx=176
current_idx=208, max_score=0.062766, most_related_idx=814
current_idx=209, max_score=0.067550, most_related_idx=172
current_idx=210, max_score=0.067977, most_related_idx=214
current_idx=211, max_score=0.067312, most_related_idx=219
current_idx=212, max_score=0.074686, most_related_idx=214
current_idx=213, max_score=0.058179, most_related_idx=142
current_idx=214, max_score=0.082773, most_related_idx=274
current_idx=215, max_score=0.060417, most_related_idx=166
current_idx=216, max_score=0.079160, most_related_idx=274
current_idx=217, max_score=0.065198, most_related_idx=325
current_idx=218, max_score=0.072580, most_related_idx=274
current_idx=219, max_score=0.067523, most_related_idx=333
current_idx=220, max_score=0.039515, most_related_idx=196
current_idx=221, max_score=0.062350, most_related_idx=219
current_idx=222, max_score=0.046397, most_related_idx=170
current_idx=223, max_score=0.068168, most_related_idx=225
current_idx=224, max_score=0.053694, most_related_idx=288
current_idx=225, max_score=0.071373, most_related_idx=816
current_idx=226, max_score=0.057045, most_related_idx=288
current_idx=227, max_score=0.066371, most_related_idx=798
current_idx=228, max_score=0.041639, most_related_idx=26
current_idx=229, max_score=0.064874, most_related_idx=227
current_idx=230, max_score=0.043563, most_related_idx=29
current_idx=231, max_score=0.056374, most_related_idx=229
current_idx=232, max_score=0.059136, most_related_idx=296
current_idx=233, max_score=0.053558, most_related_idx=231
current_idx=234, max_score=0.079182, most_related_idx=23
