current_idx=128, max_score=0.022193, most_related_idx=288
current_idx=129, max_score=0.025001, most_related_idx=131
current_idx=130, max_score=0.023092, most_related_idx=858
current_idx=131, max_score=0.025001, most_related_idx=129
current_idx=132, max_score=0.032935, most_related_idx=134
current_idx=133, max_score=0.027821, most_related_idx=381
current_idx=134, max_score=0.045821, most_related_idx=136
current_idx=135, max_score=0.028381, most_related_idx=139
current_idx=136, max_score=0.045821, most_related_idx=134
current_idx=137, max_score=0.027535, most_related_idx=139
current_idx=138, max_score=0.047160, most_related_idx=140
current_idx=139, max_score=0.028381, most_related_idx=135
current_idx=140, max_score=0.054479, most_related_idx=142
current_idx=141, max_score=0.019129, most_related_idx=139
current_idx=142, max_score=0.058299, most_related_idx=144
current_idx=143, max_score=0.021220, most_related_idx=178
current_idx=144, max_score=0.068883, most_related_idx=146
current_idx=145, max_score=0.037156, most_related_idx=410
current_idx=146, max_score=0.068883, most_related_idx=144
current_idx=147, max_score=0.041860, most_related_idx=149
current_idx=148, max_score=0.068117, most_related_idx=910
current_idx=149, max_score=0.068282, most_related_idx=151
current_idx=150, max_score=0.058954, most_related_idx=148
current_idx=151, max_score=0.068282, most_related_idx=149
current_idx=152, max_score=0.063574, most_related_idx=154
current_idx=153, max_score=0.064453, most_related_idx=151
current_idx=154, max_score=0.063574, most_related_idx=152
current_idx=155, max_score=0.024764, most_related_idx=153
current_idx=156, max_score=0.073629, most_related_idx=158
current_idx=157, max_score=0.026870, most_related_idx=159
current_idx=158, max_score=0.073629, most_related_idx=156
current_idx=159, max_score=0.034462, most_related_idx=386
current_idx=160, max_score=0.063078, most_related_idx=158
current_idx=161, max_score=0.052477, most_related_idx=398
current_idx=162, max_score=0.054267, most_related_idx=160
current_idx=163, max_score=0.027225, most_related_idx=165
current_idx=164, max_score=0.040823, most_related_idx=162
current_idx=165, max_score=0.027225, most_related_idx=163
current_idx=166, max_score=0.037298, most_related_idx=168
current_idx=167, max_score=0.027099, most_related_idx=169
current_idx=168, max_score=0.037298, most_related_idx=166
current_idx=169, max_score=0.027099, most_related_idx=167
current_idx=170, max_score=0.033466, most_related_idx=172
current_idx=171, max_score=0.020463, most_related_idx=173
current_idx=172, max_score=0.035616, most_related_idx=174
current_idx=173, max_score=0.025497, most_related_idx=572
current_idx=174, max_score=0.035616, most_related_idx=172
current_idx=175, max_score=0.020594, most_related_idx=144
current_idx=176, max_score=0.024752, most_related_idx=174
current_idx=177, max_score=0.022367, most_related_idx=183
current_idx=178, max_score=0.021220, most_related_idx=143
current_idx=179, max_score=0.022769, most_related_idx=300
current_idx=180, max_score=0.022685, most_related_idx=572
current_idx=181, max_score=0.025961, most_related_idx=298
current_idx=182, max_score=0.018951, most_related_idx=181
current_idx=183, max_score=0.027356, most_related_idx=189
current_idx=184, max_score=0.019488, most_related_idx=298
current_idx=185, max_score=0.026529, most_related_idx=183
current_idx=186, max_score=0.025839, most_related_idx=188
current_idx=187, max_score=0.022408, most_related_idx=181
current_idx=188, max_score=0.053339, most_related_idx=204
current_idx=189, max_score=0.027356, most_related_idx=183
current_idx=190, max_score=0.067466, most_related_idx=394
current_idx=191, max_score=0.031212, most_related_idx=248
current_idx=192, max_score=0.090465, most_related_idx=398
current_idx=193, max_score=0.033103, most_related_idx=734
current_idx=194, max_score=0.063575, most_related_idx=204
current_idx=195, max_score=0.043389, most_related_idx=414
current_idx=196, max_score=0.048619, most_related_idx=507
current_idx=197, max_score=0.041055, most_related_idx=934
current_idx=198, max_score=0.046650, most_related_idx=204
current_idx=199, max_score=0.024031, most_related_idx=207
current_idx=200, max_score=0.076461, most_related_idx=202
current_idx=201, max_score=0.027033, most_related_idx=319
current_idx=202, max_score=0.182883, most_related_idx=204
current_idx=203, max_score=0.033990, most_related_idx=402
current_idx=204, max_score=0.182883, most_related_idx=202
current_idx=205, max_score=0.040872, most_related_idx=570
current_idx=206, max_score=0.158359, most_related_idx=204
current_idx=207, max_score=0.045459, most_related_idx=404
current_idx=208, max_score=0.145320, most_related_idx=394
current_idx=209, max_score=0.027888, most_related_idx=211
current_idx=210, max_score=0.108273, most_related_idx=208
current_idx=211, max_score=0.035222, most_related_idx=213
current_idx=212, max_score=0.157244, most_related_idx=394
current_idx=213, max_score=0.036307, most_related_idx=921
current_idx=214, max_score=0.034751, most_related_idx=434
current_idx=215, max_score=0.031092, most_related_idx=551
current_idx=216, max_score=0.037135, most_related_idx=212
current_idx=217, max_score=0.031814, most_related_idx=493
current_idx=218, max_score=0.081752, most_related_idx=392
current_idx=219, max_score=0.031814, most_related_idx=333
current_idx=220, max_score=0.013956, most_related_idx=265
current_idx=221, max_score=0.035040, most_related_idx=229
current_idx=222, max_score=0.018299, most_related_idx=135
current_idx=223, max_score=0.036624, most_related_idx=227
current_idx=224, max_score=0.020362, most_related_idx=288
current_idx=225, max_score=0.032620, most_related_idx=223
current_idx=226, max_score=0.023654, most_related_idx=234
current_idx=227, max_score=0.037892, most_related_idx=229
current_idx=228, max_score=0.018149, most_related_idx=135
current_idx=229, max_score=0.050842, most_related_idx=555
current_idx=230, max_score=0.016178, most_related_idx=126
current_idx=231, max_score=0.039406, most_related_idx=233
current_idx=232, max_score=0.019734, most_related_idx=234
current_idx=233, max_score=0.039406, most_related_idx=231
current_idx=234, max_score=0.025525, most_related_idx=268
current_idx=235, max_score=0.038745, most_related_idx=237
current_idx=236, max_score=0.019514, most_related_idx=314
current_idx=237, max_score=0.047858, most_related_idx=555
current_idx=238, max_score=0.028603, most_related_idx=383
current_idx=239, max_score=0.043104, most_related_idx=241
current_idx=240, max_score=0.032594, most_related_idx=807
current_idx=241, max_score=0.043104, most_related_idx=239
current_idx=242, max_score=0.058395, most_related_idx=372
current_idx=243, max_score=0.034120, most_related_idx=245
current_idx=244, max_score=0.045124, most_related_idx=737
current_idx=245, max_score=0.034899, most_related_idx=413
current_idx=246, max_score=0.073764, most_related_idx=208
current_idx=247, max_score=0.045185, most_related_idx=859
current_idx=248, max_score=0.071626, most_related_idx=204
current_idx=249, max_score=0.032413, most_related_idx=247
current_idx=250, max_score=0.102335, most_related_idx=366
current_idx=251, max_score=0.047982, most_related_idx=334
current_idx=252, max_score=0.146457, most_related_idx=366
current_idx=253, max_score=0.031810, most_related_idx=251
current_idx=254, max_score=0.047117, most_related_idx=370
current_idx=255, max_score=0.033821, most_related_idx=259
current_idx=256, max_score=0.021803, most_related_idx=254
current_idx=257, max_score=0.035595, most_related_idx=446
current_idx=258, max_score=0.023905, most_related_idx=234
current_idx=259, max_score=0.035308, most_related_idx=287
current_idx=260, max_score=0.020146, most_related_idx=183
current_idx=261, max_score=0.034558, most_related_idx=263
current_idx=262, max_score=0.022090, most_related_idx=292
current_idx=263, max_score=0.035478, most_related_idx=829
current_idx=264, max_score=0.020914, most_related_idx=252
current_idx=265, max_score=0.041519, most_related_idx=267
current_idx=266, max_score=0.022011, most_related_idx=124
current_idx=267, max_score=0.050495, most_related_idx=299
current_idx=268, max_score=0.025525, most_related_idx=234
current_idx=269, max_score=0.045971, most_related_idx=271
current_idx=270, max_score=0.022032, most_related_idx=259
current_idx=271, max_score=0.052140, most_related_idx=295
current_idx=272, max_score=0.025936, most_related_idx=274
current_idx=273, max_score=0.049027, most_related_idx=275
current_idx=274, max_score=0.032445, most_related_idx=214
current_idx=275, max_score=0.057857, most_related_idx=277
current_idx=276, max_score=0.031065, most_related_idx=772
current_idx=277, max_score=0.057857, most_related_idx=275
current_idx=278, max_score=0.018531, most_related_idx=283
current_idx=279, max_score=0.050794, most_related_idx=281
current_idx=280, max_score=0.021099, most_related_idx=987
current_idx=281, max_score=0.067591, most_related_idx=283
current_idx=282, max_score=0.024160, most_related_idx=898
current_idx=283, max_score=0.072786, most_related_idx=285
current_idx=284, max_score=0.018859, most_related_idx=300
current_idx=285, max_score=0.078741, most_related_idx=287
current_idx=286, max_score=0.024588, most_related_idx=288
current_idx=287, max_score=0.084175, most_related_idx=289
current_idx=288, max_score=0.031398, most_related_idx=252
current_idx=289, max_score=0.086397, most_related_idx=291
current_idx=290, max_score=0.026224, most_related_idx=292
current_idx=291, max_score=0.089110, most_related_idx=293
current_idx=292, max_score=0.026224, most_related_idx=290
current_idx=293, max_score=0.089427, most_related_idx=295
current_idx=294, max_score=0.027191, most_related_idx=254
current_idx=295, max_score=0.094008, most_related_idx=297
current_idx=296, max_score=0.025518, most_related_idx=290
current_idx=297, max_score=0.094008, most_related_idx=295
current_idx=298, max_score=0.027739, most_related_idx=265
current_idx=299, max_score=0.108501, most_related_idx=301
current_idx=300, max_score=0.028036, most_related_idx=261
current_idx=301, max_score=0.108501, most_related_idx=299
current_idx=302, max_score=0.032513, most_related_idx=251
current_idx=303, max_score=0.075234, most_related_idx=299
current_idx=304, max_score=0.025313, most_related_idx=271
current_idx=305, max_score=0.063732, most_related_idx=303
current_idx=306, max_score=0.025444, most_related_idx=362
current_idx=307, max_score=0.033527, most_related_idx=295
current_idx=308, max_score=0.054815, most_related_idx=366
current_idx=309, max_score=0.023691, most_related_idx=298
current_idx=310, max_score=0.023804, most_related_idx=692
