current_idx=1, max_score=0.152291, most_related_idx=5
current_idx=2, max_score=0.099859, most_related_idx=278
current_idx=3, max_score=0.155302, most_related_idx=17
current_idx=4, max_score=0.155029, most_related_idx=11
current_idx=5, max_score=0.152291, most_related_idx=1
current_idx=6, max_score=0.102688, most_related_idx=4
current_idx=7, max_score=0.136050, most_related_idx=1
current_idx=8, max_score=0.094148, most_related_idx=366
current_idx=9, max_score=0.208490, most_related_idx=11
current_idx=10, max_score=0.134349, most_related_idx=54
current_idx=11, max_score=0.208490, most_related_idx=9
current_idx=12, max_score=0.111427, most_related_idx=696
current_idx=13, max_score=0.118983, most_related_idx=15
current_idx=14, max_score=0.132399, most_related_idx=16
current_idx=15, max_score=0.172541, most_related_idx=17
current_idx=16, max_score=0.132399, most_related_idx=14
current_idx=17, max_score=0.181775, most_related_idx=19
current_idx=18, max_score=0.188424, most_related_idx=48
current_idx=19, max_score=0.181775, most_related_idx=17
current_idx=20, max_score=0.182863, most_related_idx=34
current_idx=21, max_score=0.110591, most_related_idx=49
current_idx=22, max_score=0.111521, most_related_idx=36
current_idx=23, max_score=0.097652, most_related_idx=45
current_idx=24, max_score=0.092576, most_related_idx=305
current_idx=25, max_score=0.110897, most_related_idx=39
current_idx=26, max_score=0.098280, most_related_idx=68
current_idx=27, max_score=0.167342, most_related_idx=45
current_idx=28, max_score=0.104825, most_related_idx=30
current_idx=29, max_score=0.164578, most_related_idx=31
current_idx=30, max_score=0.104825, most_related_idx=28
current_idx=31, max_score=0.164578, most_related_idx=29
current_idx=32, max_score=0.104898, most_related_idx=79
current_idx=33, max_score=0.150314, most_related_idx=29
current_idx=34, max_score=0.182863, most_related_idx=20
current_idx=35, max_score=0.115971, most_related_idx=98
current_idx=36, max_score=0.111521, most_related_idx=22
current_idx=37, max_score=0.140130, most_related_idx=18
current_idx=38, max_score=0.094689, most_related_idx=40
current_idx=39, max_score=0.175939, most_related_idx=41
current_idx=40, max_score=0.122845, most_related_idx=98
current_idx=41, max_score=0.175939, most_related_idx=39
current_idx=42, max_score=0.144667, most_related_idx=44
current_idx=43, max_score=0.134866, most_related_idx=45
current_idx=44, max_score=0.144667, most_related_idx=42
current_idx=45, max_score=0.167342, most_related_idx=27
current_idx=46, max_score=0.115853, most_related_idx=20
current_idx=47, max_score=0.139703, most_related_idx=48
current_idx=48, max_score=0.188424, most_related_idx=18
current_idx=49, max_score=0.123329, most_related_idx=20
current_idx=50, max_score=0.237452, most_related_idx=52
current_idx=51, max_score=0.139971, most_related_idx=53
current_idx=52, max_score=0.237452, most_related_idx=50
current_idx=53, max_score=0.139971, most_related_idx=51
current_idx=54, max_score=0.232818, most_related_idx=52
current_idx=55, max_score=0.120225, most_related_idx=57
current_idx=56, max_score=0.181738, most_related_idx=54
current_idx=57, max_score=0.177677, most_related_idx=59
current_idx=58, max_score=0.113041, most_related_idx=62
current_idx=59, max_score=0.220146, most_related_idx=63
current_idx=60, max_score=0.142499, most_related_idx=62
current_idx=61, max_score=0.254079, most_related_idx=63
current_idx=62, max_score=0.155627, most_related_idx=64
current_idx=63, max_score=0.254079, most_related_idx=61
current_idx=64, max_score=0.155627, most_related_idx=62
current_idx=65, max_score=0.203795, most_related_idx=67
current_idx=66, max_score=0.234938, most_related_idx=76
current_idx=67, max_score=0.203795, most_related_idx=65
current_idx=68, max_score=0.185601, most_related_idx=76
current_idx=69, max_score=0.121167, most_related_idx=71
current_idx=70, max_score=0.168466, most_related_idx=72
current_idx=71, max_score=0.124115, most_related_idx=10
current_idx=72, max_score=0.175692, most_related_idx=76
current_idx=73, max_score=0.126313, most_related_idx=75
current_idx=74, max_score=0.193604, most_related_idx=76
current_idx=75, max_score=0.126313, most_related_idx=73
current_idx=76, max_score=0.234938, most_related_idx=66
current_idx=77, max_score=0.113125, most_related_idx=75
current_idx=78, max_score=0.140720, most_related_idx=74
current_idx=79, max_score=0.126068, most_related_idx=298
current_idx=80, max_score=0.109430, most_related_idx=912
current_idx=81, max_score=0.119409, most_related_idx=83
current_idx=82, max_score=0.087668, most_related_idx=26
current_idx=83, max_score=0.120811, most_related_idx=85
current_idx=84, max_score=0.122329, most_related_idx=76
current_idx=85, max_score=0.138011, most_related_idx=275
current_idx=86, max_score=0.114103, most_related_idx=88
current_idx=87, max_score=0.127269, most_related_idx=712
current_idx=88, max_score=0.149023, most_related_idx=90
current_idx=89, max_score=0.141656, most_related_idx=91
current_idx=90, max_score=0.149023, most_related_idx=88
current_idx=91, max_score=0.141656, most_related_idx=89
current_idx=92, max_score=0.108709, most_related_idx=94
current_idx=93, max_score=0.133581, most_related_idx=95
current_idx=94, max_score=0.108709, most_related_idx=92
current_idx=95, max_score=0.133581, most_related_idx=93
current_idx=96, max_score=0.082314, most_related_idx=482
current_idx=97, max_score=0.124867, most_related_idx=99
current_idx=98, max_score=0.126586, most_related_idx=222
current_idx=99, max_score=0.202641, most_related_idx=525
current_idx=100, max_score=0.131166, most_related_idx=102
current_idx=101, max_score=0.141508, most_related_idx=105
current_idx=102, max_score=0.131449, most_related_idx=128
current_idx=103, max_score=0.145398, most_related_idx=127
current_idx=104, max_score=0.154529, most_related_idx=109
current_idx=105, max_score=0.180919, most_related_idx=107
current_idx=106, max_score=0.173292, most_related_idx=116
current_idx=107, max_score=0.180919, most_related_idx=105
current_idx=108, max_score=0.182200, most_related_idx=110
current_idx=109, max_score=0.179879, most_related_idx=111
current_idx=110, max_score=0.369945, most_related_idx=112
current_idx=111, max_score=0.179879, most_related_idx=109
current_idx=112, max_score=0.369945, most_related_idx=110
current_idx=113, max_score=0.225988, most_related_idx=115
current_idx=114, max_score=0.235155, most_related_idx=116
current_idx=115, max_score=0.232591, most_related_idx=117
current_idx=116, max_score=0.237192, most_related_idx=118
current_idx=117, max_score=0.232591, most_related_idx=115
current_idx=118, max_score=0.237192, most_related_idx=116
current_idx=119, max_score=0.180164, most_related_idx=121
current_idx=120, max_score=0.148388, most_related_idx=118
current_idx=121, max_score=0.195781, most_related_idx=123
current_idx=122, max_score=0.218734, most_related_idx=124
current_idx=123, max_score=0.235439, most_related_idx=125
current_idx=124, max_score=0.218734, most_related_idx=122
current_idx=125, max_score=0.235439, most_related_idx=123
current_idx=126, max_score=0.213511, most_related_idx=124
current_idx=127, max_score=0.206652, most_related_idx=129
current_idx=128, max_score=0.191575, most_related_idx=126
current_idx=129, max_score=0.206652, most_related_idx=127
current_idx=130, max_score=0.174552, most_related_idx=128
current_idx=131, max_score=0.144045, most_related_idx=129
current_idx=132, max_score=0.160943, most_related_idx=134
current_idx=133, max_score=0.154614, most_related_idx=135
current_idx=134, max_score=0.206816, most_related_idx=136
current_idx=135, max_score=0.167788, most_related_idx=139
current_idx=136, max_score=0.206816, most_related_idx=134
current_idx=137, max_score=0.157116, most_related_idx=141
current_idx=138, max_score=0.175394, most_related_idx=140
current_idx=139, max_score=0.167788, most_related_idx=135
current_idx=140, max_score=0.175394, most_related_idx=138
current_idx=141, max_score=0.165640, most_related_idx=139
current_idx=142, max_score=0.158014, most_related_idx=140
current_idx=143, max_score=0.110059, most_related_idx=111
current_idx=144, max_score=0.157059, most_related_idx=142
current_idx=145, max_score=0.076464, most_related_idx=108
current_idx=146, max_score=0.160090, most_related_idx=140
current_idx=147, max_score=0.170957, most_related_idx=149
current_idx=148, max_score=0.155423, most_related_idx=146
current_idx=149, max_score=0.170957, most_related_idx=147
current_idx=150, max_score=0.290256, most_related_idx=152
current_idx=151, max_score=0.252738, most_related_idx=153
current_idx=152, max_score=0.290256, most_related_idx=150
current_idx=153, max_score=0.252738, most_related_idx=151
current_idx=154, max_score=0.273966, most_related_idx=152
current_idx=155, max_score=0.137480, most_related_idx=163
current_idx=156, max_score=0.198114, most_related_idx=158
current_idx=157, max_score=0.145574, most_related_idx=163
current_idx=158, max_score=0.253311, most_related_idx=162
current_idx=159, max_score=0.100221, most_related_idx=163
current_idx=160, max_score=0.323822, most_related_idx=162
current_idx=161, max_score=0.105992, most_related_idx=157
current_idx=162, max_score=0.323822, most_related_idx=160
current_idx=163, max_score=0.260270, most_related_idx=165
current_idx=164, max_score=0.238155, most_related_idx=162
current_idx=165, max_score=0.260270, most_related_idx=163
current_idx=166, max_score=0.244634, most_related_idx=162
current_idx=167, max_score=0.184895, most_related_idx=169
current_idx=168, max_score=0.252852, most_related_idx=162
current_idx=169, max_score=0.222294, most_related_idx=171
current_idx=170, max_score=0.223059, most_related_idx=168
current_idx=171, max_score=0.222294, most_related_idx=169
current_idx=172, max_score=0.139967, most_related_idx=166
current_idx=173, max_score=0.189604, most_related_idx=175
current_idx=174, max_score=0.130502, most_related_idx=164
current_idx=175, max_score=0.189604, most_related_idx=173
current_idx=176, max_score=0.248289, most_related_idx=178
current_idx=177, max_score=0.160139, most_related_idx=179
current_idx=178, max_score=0.248289, most_related_idx=176
current_idx=179, max_score=0.160139, most_related_idx=177
current_idx=180, max_score=0.160483, most_related_idx=178
current_idx=181, max_score=0.121544, most_related_idx=183
current_idx=182, max_score=0.095112, most_related_idx=180
current_idx=183, max_score=0.161874, most_related_idx=185
current_idx=184, max_score=0.138887, most_related_idx=222
current_idx=185, max_score=0.161874, most_related_idx=183
