current_idx=129, max_score=0.035163, most_related_idx=26
current_idx=130, max_score=0.034924, most_related_idx=234
current_idx=131, max_score=0.039499, most_related_idx=236
current_idx=132, max_score=0.039334, most_related_idx=196
current_idx=133, max_score=0.048035, most_related_idx=124
current_idx=134, max_score=0.043362, most_related_idx=136
current_idx=135, max_score=0.055330, most_related_idx=139
current_idx=136, max_score=0.044840, most_related_idx=138
current_idx=137, max_score=0.041623, most_related_idx=139
current_idx=138, max_score=0.056131, most_related_idx=140
current_idx=139, max_score=0.055330, most_related_idx=135
current_idx=140, max_score=0.074049, most_related_idx=142
current_idx=141, max_score=0.043627, most_related_idx=288
current_idx=142, max_score=0.074049, most_related_idx=140
current_idx=143, max_score=0.037374, most_related_idx=141
current_idx=144, max_score=0.071703, most_related_idx=146
current_idx=145, max_score=0.030051, most_related_idx=164
current_idx=146, max_score=0.071703, most_related_idx=144
current_idx=147, max_score=0.064916, most_related_idx=149
current_idx=148, max_score=0.062762, most_related_idx=146
current_idx=149, max_score=0.079223, most_related_idx=151
current_idx=150, max_score=0.069806, most_related_idx=152
current_idx=151, max_score=0.079223, most_related_idx=149
current_idx=152, max_score=0.069806, most_related_idx=150
current_idx=153, max_score=0.062421, most_related_idx=149
current_idx=154, max_score=0.080178, most_related_idx=156
current_idx=155, max_score=0.044469, most_related_idx=153
current_idx=156, max_score=0.080178, most_related_idx=154
current_idx=157, max_score=0.035876, most_related_idx=155
current_idx=158, max_score=0.072571, most_related_idx=160
current_idx=159, max_score=0.030047, most_related_idx=149
current_idx=160, max_score=0.072571, most_related_idx=158
current_idx=161, max_score=0.033690, most_related_idx=163
current_idx=162, max_score=0.064457, most_related_idx=164
current_idx=163, max_score=0.036078, most_related_idx=165
current_idx=164, max_score=0.067552, most_related_idx=166
current_idx=165, max_score=0.036078, most_related_idx=163
current_idx=166, max_score=0.067552, most_related_idx=164
current_idx=167, max_score=0.033550, most_related_idx=157
current_idx=168, max_score=0.047527, most_related_idx=170
current_idx=169, max_score=0.034934, most_related_idx=80
current_idx=170, max_score=0.047527, most_related_idx=168
current_idx=171, max_score=0.038625, most_related_idx=173
current_idx=172, max_score=0.040038, most_related_idx=174
current_idx=173, max_score=0.038625, most_related_idx=171
current_idx=174, max_score=0.042655, most_related_idx=168
current_idx=175, max_score=0.035374, most_related_idx=33
current_idx=176, max_score=0.036507, most_related_idx=174
current_idx=177, max_score=0.036107, most_related_idx=179
current_idx=178, max_score=0.032618, most_related_idx=25
current_idx=179, max_score=0.042171, most_related_idx=6
current_idx=180, max_score=0.035536, most_related_idx=21
current_idx=181, max_score=0.047050, most_related_idx=26
current_idx=182, max_score=0.042882, most_related_idx=162
current_idx=183, max_score=0.050963, most_related_idx=290
current_idx=184, max_score=0.047133, most_related_idx=292
current_idx=185, max_score=0.049332, most_related_idx=71
current_idx=186, max_score=0.048035, most_related_idx=234
current_idx=187, max_score=0.044302, most_related_idx=24
current_idx=188, max_score=0.043683, most_related_idx=26
current_idx=189, max_score=0.045071, most_related_idx=26
current_idx=190, max_score=0.045661, most_related_idx=234
current_idx=191, max_score=0.047942, most_related_idx=73
current_idx=192, max_score=0.036377, most_related_idx=135
current_idx=193, max_score=0.040642, most_related_idx=84
current_idx=194, max_score=0.039676, most_related_idx=144
current_idx=195, max_score=0.036929, most_related_idx=290
current_idx=196, max_score=0.039334, most_related_idx=132
current_idx=197, max_score=0.032077, most_related_idx=139
current_idx=198, max_score=0.037589, most_related_idx=200
current_idx=199, max_score=0.033150, most_related_idx=38
current_idx=200, max_score=0.040924, most_related_idx=202
current_idx=201, max_score=0.031776, most_related_idx=325
current_idx=202, max_score=0.069458, most_related_idx=204
current_idx=203, max_score=0.031776, most_related_idx=201
current_idx=204, max_score=0.069458, most_related_idx=202
current_idx=205, max_score=0.027793, most_related_idx=229
current_idx=206, max_score=0.068116, most_related_idx=204
current_idx=207, max_score=0.029917, most_related_idx=219
current_idx=208, max_score=0.051271, most_related_idx=210
