current_idx=129, max_score=0.069100, most_related_idx=21
current_idx=130, max_score=0.063031, most_related_idx=39
current_idx=131, max_score=0.078037, most_related_idx=25
current_idx=132, max_score=0.074842, most_related_idx=142
current_idx=133, max_score=0.087800, most_related_idx=135
current_idx=134, max_score=0.057858, most_related_idx=140
current_idx=135, max_score=0.095333, most_related_idx=266
current_idx=136, max_score=0.064595, most_related_idx=146
current_idx=137, max_score=0.091125, most_related_idx=135
current_idx=138, max_score=0.092017, most_related_idx=142
current_idx=139, max_score=0.090844, most_related_idx=135
current_idx=140, max_score=0.117136, most_related_idx=142
current_idx=141, max_score=0.085548, most_related_idx=139
current_idx=142, max_score=0.117136, most_related_idx=140
current_idx=143, max_score=0.075623, most_related_idx=147
current_idx=144, max_score=0.136134, most_related_idx=146
current_idx=145, max_score=0.074386, most_related_idx=147
current_idx=146, max_score=0.136134, most_related_idx=144
current_idx=147, max_score=0.075623, most_related_idx=143
current_idx=148, max_score=0.101784, most_related_idx=146
current_idx=149, max_score=0.084954, most_related_idx=151
current_idx=150, max_score=0.098489, most_related_idx=152
current_idx=151, max_score=0.093216, most_related_idx=153
current_idx=152, max_score=0.108062, most_related_idx=156
current_idx=153, max_score=0.093216, most_related_idx=151
current_idx=154, max_score=0.116075, most_related_idx=156
current_idx=155, max_score=0.066550, most_related_idx=153
current_idx=156, max_score=0.125132, most_related_idx=158
current_idx=157, max_score=0.066450, most_related_idx=156
current_idx=158, max_score=0.125132, most_related_idx=156
current_idx=159, max_score=0.054355, most_related_idx=149
current_idx=160, max_score=0.102385, most_related_idx=162
current_idx=161, max_score=0.053521, most_related_idx=152
current_idx=162, max_score=0.102385, most_related_idx=160
current_idx=163, max_score=0.052235, most_related_idx=21
current_idx=164, max_score=0.085719, most_related_idx=166
current_idx=165, max_score=0.054290, most_related_idx=164
current_idx=166, max_score=0.085719, most_related_idx=164
current_idx=167, max_score=0.056978, most_related_idx=156
current_idx=168, max_score=0.080197, most_related_idx=170
current_idx=169, max_score=0.056686, most_related_idx=70
current_idx=170, max_score=0.088786, most_related_idx=152
current_idx=171, max_score=0.057438, most_related_idx=173
current_idx=172, max_score=0.065470, most_related_idx=11
current_idx=173, max_score=0.057438, most_related_idx=171
current_idx=174, max_score=0.063990, most_related_idx=156
current_idx=175, max_score=0.066852, most_related_idx=75
current_idx=176, max_score=0.068113, most_related_idx=164
current_idx=177, max_score=0.068785, most_related_idx=179
current_idx=178, max_score=0.062089, most_related_idx=31
current_idx=179, max_score=0.079630, most_related_idx=71
current_idx=180, max_score=0.064705, most_related_idx=25
current_idx=181, max_score=0.083264, most_related_idx=79
current_idx=182, max_score=0.067484, most_related_idx=23
current_idx=183, max_score=0.085176, most_related_idx=75
current_idx=184, max_score=0.093155, most_related_idx=234
current_idx=185, max_score=0.084191, most_related_idx=26
current_idx=186, max_score=0.089394, most_related_idx=234
current_idx=187, max_score=0.086367, most_related_idx=298
current_idx=188, max_score=0.080244, most_related_idx=288
current_idx=189, max_score=0.084813, most_related_idx=26
current_idx=190, max_score=0.077414, most_related_idx=234
current_idx=191, max_score=0.094451, most_related_idx=26
current_idx=192, max_score=0.063194, most_related_idx=194
current_idx=193, max_score=0.079997, most_related_idx=28
current_idx=194, max_score=0.063194, most_related_idx=192
current_idx=195, max_score=0.066084, most_related_idx=82
current_idx=196, max_score=0.070684, most_related_idx=317
current_idx=197, max_score=0.055726, most_related_idx=294
current_idx=198, max_score=0.066318, most_related_idx=202
current_idx=199, max_score=0.065473, most_related_idx=25
current_idx=200, max_score=0.084186, most_related_idx=202
current_idx=201, max_score=0.057197, most_related_idx=119
current_idx=202, max_score=0.159613, most_related_idx=204
current_idx=203, max_score=0.058434, most_related_idx=574
current_idx=204, max_score=0.159613, most_related_idx=202
current_idx=205, max_score=0.054573, most_related_idx=131
current_idx=206, max_score=0.125174, most_related_idx=204
current_idx=207, max_score=0.052287, most_related_idx=197
current_idx=208, max_score=0.095245, most_related_idx=210
current_idx=209, max_score=0.056256, most_related_idx=213
current_idx=210, max_score=0.095245, most_related_idx=208
current_idx=211, max_score=0.066888, most_related_idx=213
current_idx=212, max_score=0.082428, most_related_idx=208
current_idx=213, max_score=0.066888, most_related_idx=211
current_idx=214, max_score=0.073605, most_related_idx=191
current_idx=215, max_score=0.053380, most_related_idx=229
current_idx=216, max_score=0.078230, most_related_idx=290
